id	name	mda
THRtex	L-threonine_transport_via_diffusion_	15.185056
G3PD2	Glycerol-3-phosphate_dehydrogenase	14.961731
NAt3_1p5pp	Sodium_proton_antiporter	13.168138
EX_thr__L_e	L-Threonine_exchange	12.821391
CU2tex	Copper_transport_via_diffusion	12.06144
FE2tpp	Iron_transport_in_via_permease	11.894812
FUM	Fumarase	11.322673
GHMT2r	Glycine_hydroxymethyltransferase	10.757404
ALAR	Alanine_racemase	10.28556
EX_cu2_e	Copper_exchange	9.536189
TRDR	Thioredoxin_reductase	9.411056
O2tex	Oxygen_transport_via_diffusion	8.185968
THRA	Threonine_aldolase	7.224055
DHFR	Dihydrofolate_reductase	7.091879
EX_o2_e	Oxygen_exchange	5.708567
TPI	Triose-phosphate_isomerase	5.491624
O2tpp	Oxygen_transport_via_diffusion	4.602561
TKT1	Transketolase	4.374759
FLDR2	Flavodoxin_reductase	4.240936
TKT2	Transketolase	3.932374
