MeanDecreaseAccuracy	reaction
0.0385861921359995	PUNP1
0.034443221427261	MDH
0.0337246988320186	NDPK1
0.0307206628753134	VALTA
0.0302047025010701	TKT2
0.0300097841374671	RPI
0.0297460710572984	ALAALAr
0.028916712529811	RPE
0.0283587109398887	TALA
0.0274873111967223	PPM
0.027357365620987	TKT1
0.0256680731364276	FLDR2
0.0250718522595242	SUCDi
0.0224652968874213	NDPK3
0.00759799425181924	UMPK
0.00414297070873846	HACD7
0.00365376383538189	GTPCII2
0.00312633767504433	CYTDK2
0.00304225524368617	TRPAS2
0.00285498073747936	DB4PS
0.00280147373570599	FMNAT
0.00257597994251819	PSSA161
0.00247660979636764	RBFSb
0.00240017122240568	DHPPDA2
0.00227404757536843	CTECOAI8
0.00204473185348254	DASYN160
0.0019186082064453	PMDPHT
0.00175426527242708	APRAUR
0.00173133370023849	OMPHHX
0.00167018284106892	AGPAT160
0.00156316883752217	ACACT8r
0.00145997676267352	RBFK
0.00142175747569253	GLNS
0.00138353818871155	PGPP161
0.00136060661652296	HACD8
0.00135678468782486	RBFSa
0.0012765241851648	ALATA_L
0.00118479789641044	PSSA181
0.00117715403901425	ADNK1
0.00113511282333517	OPHHX
0.00103574267718461	G1SAT
0.00102427689109032	GSNK
0.00102427689109032	MOGDS
0.000963126031920749	SHKK
0.000909619030147374	FACOAE160
0.000890509386656882	HACD1
0.000871399743166391	OMBZLM
0.000833180456185409	METAT
0.000817892741393017	GLUTRS
0.000775851525713936	ACOAD5f
0.000772029597015838	G3PAT160
0.000760563810921543	FACOAE181
0.000745276096129151	MECDPS
0.000729988381336758	ECOAH8
0.000729988381336758	PSD160
0.000729988381336758	PSD181
0.000699412951751972	CTECOAI7
0.000684125236959579	AACPS3
0.000672659450865285	CHORS
0.000642084021280499	PUNP4
0.000561823518620437	PGSA181
0.000558001589922338	DXPRIi
0.000546535803828044	IPDPS
0.000542713875129946	HACD4
0.000527426160337553	PSD161
0.000504494588148964	DXPS
0.000489206873356571	OHPHM
0.000481563015960374	PUNP3
0.000450987586375589	MECDPDH5
0.00044716565767749	I2FE2ST
0.000435699871583196	MEPCT
0.000420412156790803	PSCVT
0.000408946370696508	DMPPS
0.000401302513300312	ACACT4r
0.000389836727206017	DMATT
0.000389836727206017	OPHBDC
0.000370727083715526	GHMT2r
0.000355439368923133	DHPTDCs2
0.000351617440225035	OMMBLHX
0.000347795511526937	ACCOAC
0.000340151654130741	AKGDH
0.000328685868036446	RHCCE
0.000324863939338348	ACACT5r
0.000317220081942151	ECOAH6
0.000313398153244053	AHCYSNS
0.000305754295847857	ECOAH3
0.000305754295847857	HCYSMT2
0.000305754295847857	MOCDS
0.000282822723659267	LIPAMPL
0.000240781507980187	OCTDPS
0.000236959579282089	GRTT
0.000225493793187794	DHNPA2r
0.000221671864489696	ACOAD6f
0.0002140280070935	ECOAH1
0.000202562220999205	ACOAD3f
